#metadataBlock	name	dataverseAlias	displayName													
	variableInformation		Variable Information													
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	odisseiVariable	Variable	This element describes all of the features of a single (conceptual)variable in a social science data file.		none	0		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		variableInformation	
	odisseiVariableName	Name	Name of the variable.		textbox	1	<b>#VALUE:</b>  <br>	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiConceptVariableName	Conceptual Variable Name	Name of the conceptual variable.		textbox	7	- <b>#NAME:</b> #VALUE <br>	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiConceptVariableDefinition	Conceptual Variable Definition	The definition of the conceptual variable.		textbox	8	- <b>#NAME:</b> #VALUE <br>	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiConceptVariableID	Conceptual Variable ID	The ID of the conceptual variable.		textbox	9	- <b>#NAME:</b> #VALUE <br>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiConceptVariableObjecttype	Conceptual Variable Object Type	The related object type for the conceptual variable.		textbox	10	- <b>#NAME:</b> #VALUE <br>	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiConceptVariableValidFrom	Conceptual Variable Valid from	Valid from date provided by the metadata distributor.		textbox	11	- <b>#NAME:</b> #VALUE <br>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiConceptVariableVersion	Conceptual Variable Version	Version number of the conceptual variable provided by the metadata distributor.		textbox	12	- <b>#NAME:</b> #VALUE <br>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiConceptVariableVersionResponsibility	Conceptual Variable Version Responsibility	Person or organization responsible for the version change.		textbox	13	- <b>#NAME:</b> #VALUE <br>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiConceptVariableGroeppad	Variable group path	Variable group path indicated by CBS.		textbox	16	- <b>#NAME:</b> #VALUE <br>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiConceptVariableThema	Topic	Topic indicated by CBS.		textbox	14	- <b>#NAME:</b> #VALUE <br>	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiConceptVariableWaardestelselnaam	Value system name	Value system name indicated by CBS.		textbox	17	- <b>#NAME:</b> #VALUE <br>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiVariableId	ID	Id to uniquely identify the variable.		textbox	4	- <b>#NAME:</b> #VALUE <br>	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiVariableLabel	Label	Short description of the variable.		textbox	2	- <b>#NAME:</b> #VALUE <br>	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiVariableVocabularyURI	Vocabulary URI	Vocabulary URI for the variable.	https://	url	19	- <b>#NAME:</b> <a href='https://skosmos.odissei.nl/cbs/nl/page/?clang=nl&uri=#VALUE' target='_blank'>#VALUE</a> <br>	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiVariableDefinition	Definition	Extra information related to the definition of the variable.		textbox	3	- <b>#NAME:</b> #VALUE <br>	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiVariableProcessingInstruction	Processing Instruction	Information about how the variable was processed.		textbox	6	- <b>#NAME:</b> #VALUE <br>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiVariableDataType	Data Type	Data type of the variable.		textbox	5	- <b>#NAME:</b> #VALUE <br>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiVariableVolgnummer	Reference Number	Reference number as indicated by CBS.		textbox	18	- <b>#NAME:</b> #VALUE <br>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
	odisseiVariableTrefwoord	Keyword	Keyword as indicated by CBS.		textbox	15	- <b>#NAME:</b> #VALUE <br>	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	odisseiVariable	variableInformation	
